セーブデータをチェックしています。,
"セーブデータが見つかりませんでした。
セーブデータを新規作成しますか？
本体ストレージに2MBの空き容量が必要です。","セーブデータが見つかりませんでした。
セーブデータを新規作成しますか？"
セーブデータを保存中…,
セーブデータの保存が完了しました。,
"本体ストレージの空き容量が足りません。
本体ストレージに2MBの空き容量が必要です。
セーブデータを整理しますか？","本体ストレージの空き容量が足りません。
セーブデータを整理しますか？"
"セーブデータが破損している為、保存に失敗しました。
再試行しますか？",
"セーブデータが破損している為、保存に失敗しました。
セーブデータを削除して、作成しなおしますか？",
"オートセーブ機能を無効にしてゲームを続行します。
よろしいですか？",
セーブデータを読込中…,
セーブデータの読込が完了しました。,
"セーブデータが破損している為、読み込みに失敗しました。
再試行しますか？",
"セーブデータが破損している為、読み込みに失敗しました。
セーブデータを削除して、作成しなおしますか？",
"読み込んだセーブデータは、このユーザーのものではありません。
このデータを使用した場合、セーブデータの上書きならびにトロフィーの取得が出来ません。",
トロフィーをインストールしています。,
クロスセーブ　データをチェックしています。,
"サーバーにセーブデータが見つかりませんでした。
セーブデータを新規アップロードしますか？",
"★ダミー　このメッセージは表示されてはいけません
サーバーのデータを上書きします。
よろしいですか？",
セーブデータをアップロードしています。,
セーブデータのアップロードが完了しました。,
セーブデータのアップロードに失敗しました。,
サーバーにセーブデータが見つかりませんでした。,
"★ダミー　このメッセージは表示されてはいけません
本体のデータを上書きします。
よろしいですか？",
セーブデータをダウンロードしています。,
セーブデータのダウンロードに失敗しました。,
セーブデータのダウンロードが完了しました。,
　　　現在のセーブデータ【,
サーバー上のセーブデータ【,
"】を
",
"】と
",
連動しますか？,
　データが保存されていません。 ,
"アップロードを行う前に、セーブデータを保存する必要があります。
現在のゲーム進行状況を保存してよろしいですか？",
"セーブデータが見つかりませんでした。
ダウンロードしたデータを反映するには、
セーブデータを新規作成する必要があります。
　
セーブデータを新規作成しますか？
",
"他のユーザーのセーブデータを使用している為
クロスセーブを利用できません。
　
クロスセーブを利用するには、ホーム画面から
『電撃文庫 FIGHTING CLIMAX IGNITION』のアプリケーションを削除し
セーブデータを初期化してください。
",
通信エラーが発生しました。,
"前作購入者特典を受け取ります。
事前に前作のクロスセーブで、セーブデータのアップロードを行ってください。

前作購入者特典を受け取りますか？",
前作のセーブデータをチェックしています。,
"前作セーブデータを確認しました。

CP 200000ptsを受け取りました。
バトルテーマソング「belief」が選択できるようになりました。
バトルテーマソング「belief - duel version -」が選択できるようになりました。
",
サーバーに前作セーブデータが見つかりませんでした。,
"他のユーザーのセーブデータを使用している為
前作購入者特典を受け取れません。
　
前作購入者特典を受け取るには、ホーム画面から
『電撃文庫 FIGHTING CLIMAX IGNITION』のアプリケーションを削除し
セーブデータを初期化してください。",
前作購入者特典の受け取りに失敗しました。,
